county,fips,series_id,date,unemployment_rate
Allegany,24001,MDALLE0URN,2020-01-01,6.0
Allegany,24001,MDALLE0URN,2020-02-01,5.8
Allegany,24001,MDALLE0URN,2020-03-01,7.0
Allegany,24001,MDALLE0URN,2020-04-01,13.1
Allegany,24001,MDALLE0URN,2020-05-01,12.1
Allegany,24001,MDALLE0URN,2020-06-01,10.3
Allegany,24001,MDALLE0URN,2020-07-01,8.9
Allegany,24001,MDALLE0URN,2020-08-01,7.6
Allegany,24001,MDALLE0URN,2020-09-01,7.8
Allegany,24001,MDALLE0URN,2020-10-01,6.8
Allegany,24001,MDALLE0URN,2020-11-01,6.8
Allegany,24001,MDALLE0URN,2020-12-01,8.0
Allegany,24001,MDALLE0URN,2021-01-01,8.8
Allegany,24001,MDALLE0URN,2021-02-01,8.5
Allegany,24001,MDALLE0URN,2021-03-01,7.8
Allegany,24001,MDALLE0URN,2021-04-01,6.6
Allegany,24001,MDALLE0URN,2021-05-01,6.6
Allegany,24001,MDALLE0URN,2021-06-01,7.5
Allegany,24001,MDALLE0URN,2021-07-01,6.5
Allegany,24001,MDALLE0URN,2021-08-01,6.1
Allegany,24001,MDALLE0URN,2021-09-01,5.3
Allegany,24001,MDALLE0URN,2021-10-01,5.1
Allegany,24001,MDALLE0URN,2021-11-01,4.6
Allegany,24001,MDALLE0URN,2021-12-01,4.1
Allegany,24001,MDALLE0URN,2022-01-01,5.5
Allegany,24001,MDALLE0URN,2022-02-01,5.1
Allegany,24001,MDALLE0URN,2022-03-01,4.4
Allegany,24001,MDALLE0URN,2022-04-01,3.6
Allegany,24001,MDALLE0URN,2022-05-01,3.6
Allegany,24001,MDALLE0URN,2022-06-01,4.4
Allegany,24001,MDALLE0URN,2022-07-01,4.3
Allegany,24001,MDALLE0URN,2022-08-01,4.3
Allegany,24001,MDALLE0URN,2022-09-01,3.3
Allegany,24001,MDALLE0URN,2022-10-01,3.6
Allegany,24001,MDALLE0URN,2022-11-01,3.3
Allegany,24001,MDALLE0URN,2022-12-01,3.0
Allegany,24001,MDALLE0URN,2023-01-01,4.5
Allegany,24001,MDALLE0URN,2023-02-01,4.1
Allegany,24001,MDALLE0URN,2023-03-01,3.5
Allegany,24001,MDALLE0URN,2023-04-01,2.4
Allegany,24001,MDALLE0URN,2023-05-01,2.5
Allegany,24001,MDALLE0URN,2023-06-01,3.0
Allegany,24001,MDALLE0URN,2023-07-01,3.1
Allegany,24001,MDALLE0URN,2023-08-01,3.5
Allegany,24001,MDALLE0URN,2023-09-01,3.2
Allegany,24001,MDALLE0URN,2023-10-01,3.7
Allegany,24001,MDALLE0URN,2023-11-01,3.7
Allegany,24001,MDALLE0URN,2023-12-01,3.8
Allegany,24001,MDALLE0URN,2024-01-01,5.6
Allegany,24001,MDALLE0URN,2024-02-01,5.0
Allegany,24001,MDALLE0URN,2024-03-01,4.6
Allegany,24001,MDALLE0URN,2024-04-01,3.9
Allegany,24001,MDALLE0URN,2024-05-01,3.8
Allegany,24001,MDALLE0URN,2024-06-01,5.1
Allegany,24001,MDALLE0URN,2024-07-01,5.0
Allegany,24001,MDALLE0URN,2024-08-01,5.1
Allegany,24001,MDALLE0URN,2024-09-01,4.1
Allegany,24001,MDALLE0URN,2024-10-01,4.5
Allegany,24001,MDALLE0URN,2024-11-01,4.7
Allegany,24001,MDALLE0URN,2024-12-01,4.6
Allegany,24001,MDALLE0URN,2025-01-01,6.4
Allegany,24001,MDALLE0URN,2025-02-01,6.0
Allegany,24001,MDALLE0URN,2025-03-01,5.4
Allegany,24001,MDALLE0URN,2025-04-01,4.8
Allegany,24001,MDALLE0URN,2025-05-01,5.1
Allegany,24001,MDALLE0URN,2025-06-01,5.9
Allegany,24001,MDALLE0URN,2025-07-01,6.1
Allegany,24001,MDALLE0URN,2025-08-01,6.0
Allegany,24001,MDALLE0URN,2025-09-01,5.6
Allegany,24001,MDALLE0URN,2025-11-01,5.4
Allegany,24001,MDALLE0URN,2025-12-01,5.0
Allegany,24001,MDALLE0URN,2026-01-01,6.8
